12.8,1004.1,24.9,89.6,2.1
6.6,1003.8,25.7,84.3,2.6
.4,1003.8,26.3,83,3.1
0,1004.2,26.5,81,3
0,1004,26.6,79.6,3.2
0,1004.4,26.7,80.8,3.5
0,1005.5,26.5,78.3,3.3
0,1005.3,26.1,77.7,2.8
0,1005.1,26.4,80,3.1
0,1005.5,26.8,78.8,3.4
1.8,1005.5,26.1,81.6,3.1
.4,1004.3,26.4,77.2,2.6
0,1003.3,26.9,80.6,3.1
3.4,1003.5,26.2,85,2.4
1.2,1004,26.4,78.5,2.2
0,1003.4,26.1,80.4,2.2
2.2,1004.1,25.9,84.2,2.6
.2,1004.2,26.7,80.4,2.6
20.8,1004.4,25.9,86.7,2.4
.2,1004.6,26.3,83.3,2.5
0,1003.7,26.4,78.8,2.8
0,1002.9,26.7,79.9,2.9
0,1003.1,27.2,81.2,2.6
0,1002.2,26.8,77.8,2.7
.2,1001.7,26.5,74,2.7
0,1001.7,26.7,78.2,3.4
0,1003.1,27.6,78.2,2.8
0,1004.5,27.3,75.6,2.9
.6,1003.6,26.5,76.6,2.5
3.6,1002.5,26.8,78.8,2.9
9.6,1003.2,24.9,91.2,2.9
18,1003.9,24.3,90.7,1.8
13.8,1004.8,26.5,83.2,2.3
0,1005.5,26.9,79.4,3
0,1006.1,26.6,81.8,2.5
.6,1004.7,26.9,82.5,2.3
1.6,1003.9,25.6,89.4,2
4,1004,25.8,79.7,2.2
0,1003.6,25.7,79.6,2
0,1003.9,26.4,81.8,2
.4,1003.6,26.9,82.2,2.6
5.4,1003.2,26.4,79.9,1.9
.2,1003.2,26.1,83,2
0,1003.5,26.9,77.5,2.2
.4,1002.9,27,78.8,2.3
.2,1002.2,27.3,82.3,2.8
0,1000.7,27.8,79.6,3.1
0,1000.8,27.3,76.6,2.9
0,1001.9,26.6,78,2.8
0,1003,27.1,79.6,2.9
.2,1003.4,27.4,78,2.6
.2,1003.7,26.6,84.8,2
5.6,1004.5,26.9,82.6,2.2
1.2,1004.6,26,86,2
17,1004.1,25.7,87.5,1.5
.2,1004,26.8,81.5,2.5
0,1004.9,27.4,80.5,2.8
.8,1005.7,27.2,79.8,3
